Seconds,Battery Voltage (V),ON/OFF
Switchoff Voltage = 980mV
0,1.28,1
5,1.18,1
10,1.13,1
15,1.1,1
20,1.07,1
25,1.04,1
30,0,1
35,0,1
40,6.04,1
45,0,1
50,5.86,1
55,5.82,1
60,5.81,1
65,5.81,1
70,5.79,1
75,5.8,1
80,5.79,1
85,5.77,1
90,5.76,1
95,5.77,1
100,5.77,1
105,5.77,1
110,5.77,1
115,5.77,1
120,5.79,1
125,5.78,1
130,5.77,1
135,5.78,1
140,5.77,1
145,5.76,1
150,5.77,1
155,5.77,1
160,5.76,1
165,5.71,1
170,5.75,1
175,5.74,1
180,5.73,1
185,5.71,1
190,5.73,1
195,,1
200,5.72,1
205,5.7,1
210,5.72,1
215,5.71,1
220,5.74,1
225,5.71,1
230,5.73,1
235,5.73,1
240,5.77,1
245,5.75,1
250,5.74,1
255,5.75,1
260,5.71,1
265,5.75,1
270,5.76,1
275,5.74,1
280,5.75,1
285,5.74,1
290,5.76,1
295,5.76,1
300,5.75,1
305,5.78,1
310,5.76,1
315,5.74,1
320,5.77,1
325,5.74,1
330,5.76,1
335,5.74,1
340,5.77,1
345,5.76,1
350,5.74,1
355,5.73,1
360,5.75,1
365,,1
370,5.74,1
375,5.74,1
380,5.76,1
385,5.75,1
390,5.74,1
395,5.75,1
400,5.74,1
405,5.74,1
410,5.75,1
415,5.73,1
420,5.74,1
425,5.73,1
430,5.73,1
435,5.73,1
440,5.74,1
445,5.73,1
450,5.74,1
455,5.74,1
460,5.72,1
465,5.74,1
470,5.73,1
475,5.71,1
480,5.74,1
485,5.74,1
490,5.74,1
495,5.74,1
500,5.75,1
505,5.75,1
510,5.74,1
515,5.78,1
520,5.72,1
525,5.76,1
530,5.74,1
535,5.75,1
540,5.73,1
545,5.71,1
550,5.72,1
555,5.76,1
560,5.73,1
565,5.75,1
570,5.74,1
575,5.74,1
580,5.74,1
585,5.75,1
590,5.74,1
595,5.73,1
600,5.74,1
605,5.76,1
610,5.74,1
615,5.72,1
620,5.74,1
625,5.76,1
630,5.75,1
635,5.75,1
640,5.74,1
645,5.74,1
650,5.73,1
655,5.72,1
660,5.76,1
665,5.75,1
670,5.74,1
675,5.73,1
680,5.73,1
685,5.73,1
690,5.74,1
695,5.76,1
700,5.74,1
705,5.73,1
710,5.73,1
715,5.72,1
720,5.72,1
725,5.74,1
730,5.71,1
735,5.71,1
740,5.71,1
745,5.72,1
750,5.72,1
755,5.73,1
760,5.74,1
765,5.7,1
770,5.73,1
775,5.72,1
780,5.71,1
785,5.72,1
790,5.74,1
795,5.71,1
800,5.73,1
805,5.72,1
810,5.74,1
815,5.71,1
820,5.75,1
825,5.73,1
830,5.71,1
835,5.74,1
840,5.75,1
845,5.72,1
850,5.75,1
855,5.73,1
860,5.73,1
865,5.76,1
870,5.74,1
875,5.74,1
880,5.72,1
885,5.73,1
890,5.73,1
895,5.72,1
900,5.75,1
905,5.73,1
910,5.73,1
915,5.7,1
920,5.73,1
925,5.7,1
930,5.74,1
935,5.71,1
940,5.7,1
945,5.7,1
950,5.73,1
955,5.73,1
960,5.69,1
965,5.72,1
970,5.7,1
975,5.69,1
980,5.69,1
985,5.7,1
990,5.71,1
995,5.7,1
1000,5.73,1
1005,5.72,1
1010,5.7,1
1015,5.71,1
1020,5.72,1
1025,5.7,1
1030,5.73,1
1035,5.73,1
1040,5.7,1
1045,5.74,1
1050,5.7,1
1055,5.7,1
1060,5.7,1
1065,5.74,1
1070,5.71,1
1075,5.7,1
1080,5.71,1
1085,5.71,1
1090,5.71,1
1095,5.71,1
1100,5.71,1
1105,5.7,1
